기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,일반_점포_수,프랜차이즈_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수
20261,11740660,성내3동,CS300011,일반의류,71,71,0,1,1,0,0
20261,11740660,성내3동,CS300010,반찬가게,47,47,0,0,0,0,0
20261,11740660,성내3동,CS300009,청과상,26,26,0,0,0,0,0
20261,11740660,성내3동,CS300008,수산물판매,19,18,1,0,0,0,0
20261,11740660,성내3동,CS300007,육류판매,32,32,0,0,0,0,0
20261,11740660,성내3동,CS300006,미곡판매,4,4,0,0,0,0,0
20261,11740660,성내3동,CS300005,주류도매,1,1,0,0,0,0,0
20261,11740660,성내3동,CS300004,핸드폰,17,15,2,0,0,0,0
20261,11740660,성내3동,CS300003,컴퓨터및주변장치판매,15,15,0,7,1,13,2
20261,11740660,성내3동,CS300002,편의점,23,6,17,4,1,0,0
20261,11740660,성내3동,CS300001,슈퍼마켓,29,19,10,0,0,7,2
20261,11740660,성내3동,CS200047,가정용품임대,2,2,0,0,0,50,1
20261,11740660,성내3동,CS200044,여행사,7,7,0,0,0,0,0
20261,11740660,성내3동,CS200043,건축물청소,15,15,0,0,0,0,0
20261,11740660,성내3동,CS200042,통번역서비스,4,4,0,0,0,0,0
20261,11740660,성내3동,CS200041,사진관,6,6,0,0,0,0,0
20261,11740660,성내3동,CS200040,녹음실,3,3,0,0,0,0,0
20261,11740660,성내3동,CS200039,DVD방,3,3,0,0,0,0,0
20261,11740660,성내3동,CS200038,독서실,14,12,2,14,2,21,3
20261,11740660,성내3동,CS200037,노래방,31,30,1,3,1,7,2
20261,11740660,성내3동,CS200036,고시원,1,1,0,0,0,0,0
20261,11740660,성내3동,CS200035,게스트하우스,3,3,0,0,0,0,0
20261,11740660,성내3동,CS200034,여관,2,2,0,0,0,0,0
20261,11740660,성내3동,CS200033,부동산중개업,114,114,0,1,1,2,2
20261,11740660,성내3동,CS200032,가전제품수리,14,14,0,0,0,7,1
20261,11740660,성내3동,CS200031,세탁소,22,18,4,0,0,0,0
20261,11740660,성내3동,CS200030,피부관리실,42,41,1,2,1,2,1
20261,11740660,성내3동,CS200029,네일숍,17,17,0,0,0,6,1
20261,11740660,성내3동,CS200028,미용실,103,95,8,3,3,1,1
20261,11740660,성내3동,CS200027,모터사이클수리,2,2,0,0,0,0,0
20261,11740660,성내3동,CS200026,자동차미용,6,6,0,0,0,17,1
20261,11740660,성내3동,CS200025,자동차수리,20,18,2,0,0,0,0
20261,11740660,성내3동,CS200024,스포츠클럽,30,29,1,0,0,0,0
20261,11740660,성내3동,CS200023,통신기기수리,2,2,0,50,1,0,0
20261,11740660,성내3동,CS200022,복권방,4,4,0,0,0,0,0
20261,11740660,성내3동,CS200021,기타오락장,2,1,1,0,0,0,0
20261,11740660,성내3동,CS200019,PC방,11,10,1,0,0,0,0
20261,11740660,성내3동,CS200017,골프연습장,7,7,0,0,0,0,0
20261,11740660,성내3동,CS200016,당구장,22,22,0,14,3,5,1
20261,11740660,성내3동,CS200015,세무사사무소,19,19,0,0,0,0,0
